parentid,childid,date,sym,time,price,size
V004,V004_131,2020/12/14,600030.SHSE,13:48:27,28.77,6600
V004,V004_132,2020/12/14,600030.SHSE,13:48:56,28.78,34000
V004,V004_133,2020/12/14,600030.SHSE,13:49:27,28.77,4700
V004,V004_134,2020/12/14,600030.SHSE,13:49:36,28.77,7000
V004,V004_135,2020/12/14,600030.SHSE,13:50:18,28.75,7800
V004,V004_136,2020/12/14,600030.SHSE,13:51:24,28.8,10900
V004,V004_137,2020/12/14,600030.SHSE,13:52:27,28.78,7200
V004,V004_138,2020/12/14,600030.SHSE,13:53:58,28.77,600
V004,V004_139,2020/12/14,600030.SHSE,13:55:18,28.74,8900
V004,V004_140,2020/12/14,600030.SHSE,13:56:48,28.73,17100
V004,V004_141,2020/12/14,600030.SHSE,13:57:21,28.73,2000
V004,V004_142,2020/12/14,600030.SHSE,13:57:51,28.75,1500
V004,V004_143,2020/12/14,600030.SHSE,13:58:15,28.72,5300
V004,V004_144,2020/12/14,600030.SHSE,13:59:39,28.78,1100
V004,V004_145,2020/12/14,600030.SHSE,13:59:56,28.76,2500
V004,V004_146,2020/12/14,600030.SHSE,14:00:04,28.77,1800
V004,V004_147,2020/12/14,600030.SHSE,14:01:03,28.75,600
V004,V004_148,2020/12/14,600030.SHSE,14:01:21,28.74,5000
V004,V004_149,2020/12/14,600030.SHSE,14:01:51,28.75,12900
V004,V004_150,2020/12/14,600030.SHSE,14:03:48,28.8,6100
V004,V004_151,2020/12/14,600030.SHSE,14:04:03,28.8,22200
V004,V004_152,2020/12/14,600030.SHSE,14:05:21,28.79,200
V004,V004_153,2020/12/14,600030.SHSE,14:06:42,28.78,6300
V004,V004_154,2020/12/14,600030.SHSE,14:09:12,28.77,200
V004,V004_155,2020/12/14,600030.SHSE,14:11:39,28.8,300
V004,V004_156,2020/12/14,600030.SHSE,14:13:21,28.83,2400
V004,V004_157,2020/12/14,600030.SHSE,14:14:26,28.82,100
V004,V004_158,2020/12/14,600030.SHSE,14:15:00,28.81,900
V004,V004_159,2020/12/14,600030.SHSE,14:16:50,28.85,1500
