candle_begin_time,open,high,low,close,volume
2019-02-27 08:00:00,136.22,140.29,126.84,135.02,567202.61035
2019-02-28 08:00:00,135.03,139.0,132.1,135.34,579327.31749
2019-03-01 08:00:00,135.32,137.95,134.9,135.32,302632.02831
2019-03-02 08:00:00,135.32,136.12,130.03,132.56,297005.28093
2019-03-03 08:00:00,132.54,134.6,128.01,130.6,222453.2859
2019-03-04 08:00:00,130.6,131.11,122.6,125.65,403947.79445
2019-03-05 08:00:00,125.68,137.84,125.19,136.72,512631.23178
2019-03-06 08:00:00,136.71,140.29,133.33,137.4,428826.87415
2019-03-07 08:00:00,137.37,140.2,135.2,136.81,307336.4931
2019-03-08 08:00:00,136.82,139.34,130.62,133.52,330283.58233
2019-03-09 08:00:00,133.51,138.65,132.93,137.27,279861.12049
2019-03-10 08:00:00,137.27,137.5,134.0,135.37,203965.16815
2019-03-11 08:00:00,135.37,136.15,131.0,132.67,264587.00683
2019-03-12 08:00:00,132.67,135.3,130.77,133.57,194905.96843
2019-03-13 08:00:00,133.62,133.65,130.58,131.65,209456.09848
2019-03-14 08:00:00,131.69,135.11,128.52,132.2,258413.81868
2019-03-15 08:00:00,132.24,137.62,132.18,136.56,295832.26562
2019-03-16 08:00:00,136.6,144.47,136.51,140.92,474664.10197
2019-03-17 08:00:00,140.94,141.07,137.2,138.67,252697.08148
2019-03-18 08:00:00,138.67,142.01,136.1,137.59,281718.96195
2019-03-19 08:00:00,137.62,139.38,136.97,138.55,218577.45208
2019-03-20 08:00:00,138.56,139.66,136.01,139.01,222883.51754
2019-03-21 08:00:00,139.04,139.55,131.21,134.85,312531.39368
2019-03-22 08:00:00,134.85,137.2,134.29,135.98,186119.74745
2019-03-23 08:00:00,135.92,138.21,135.6,137.28,174710.43059
2019-03-24 08:00:00,137.28,137.37,134.75,136.09,198490.45124
2019-03-25 08:00:00,136.12,136.83,131.6,133.98,230880.285
2019-03-26 08:00:00,133.97,134.74,132.27,134.18,183139.11426
2019-03-27 08:00:00,134.14,140.14,133.84,139.45,317167.45325
2019-03-28 08:00:00,139.46,139.57,137.3,137.86,163185.6991
2019-03-29 08:00:00,137.85,143.6,137.62,143.25,235853.0454
2019-03-30 08:00:00,143.25,145.89,140.06,142.46,254798.70067
2019-03-31 08:00:00,142.44,142.5,140.42,141.38,142469.21171
2019-04-01 08:00:00,141.41,143.08,139.57,141.24,234310.19161
2019-04-02 08:00:00,141.24,165.6,141.0,163.31,906868.8586
2019-04-03 08:00:00,163.26,177.81,149.23,159.96,1345344.53845
2019-04-04 08:00:00,159.96,164.0,152.8,157.36,686080.95248
2019-04-05 08:00:00,157.33,167.83,155.94,164.77,516070.34553
2019-04-06 08:00:00,164.84,172.77,159.2,165.5,528168.33297
2019-04-07 08:00:00,165.56,175.43,164.06,174.21,465507.52497
2019-04-08 08:00:00,174.29,185.87,170.9,178.72,873410.07285
2019-04-09 08:00:00,178.71,179.17,171.05,174.6,431986.36108
2019-04-10 08:00:00,174.58,183.77,168.0,177.12,523943.20498
2019-04-11 08:00:00,177.12,177.48,158.27,164.07,661305.30321
2019-04-12 08:00:00,164.06,166.5,158.11,163.19,316337.87823
2019-04-13 08:00:00,163.2,165.37,160.74,162.99,179237.74574
2019-04-14 08:00:00,162.99,168.11,161.2,167.23,186977.66211
2019-04-15 08:00:00,167.21,168.81,155.7,159.95,351548.9079
2019-04-16 08:00:00,159.91,166.73,159.41,165.37,240370.50441
2019-04-17 08:00:00,165.41,167.28,163.78,165.75,227841.54981
2019-04-18 08:00:00,165.75,175.2,165.04,173.33,396118.94407
2019-04-19 08:00:00,173.34,173.55,168.59,172.64,320541.72166
2019-04-20 08:00:00,172.66,176.97,169.87,172.88,253596.48407
